Genre,Reports,Age,Gpa,Year,Count,Gender,Nationality
Housing and Transportation,The bus stop signs are fading and you can't read the route numbers anymore. It would be helpful to have them repainted or replaced.,26,0.7,1,1,F,Nigeria
Food and Cantines,The canteen kitchen hygiene looks questionable based on what I have seen.,19,3.61,2,1,F,Malaysia
Academic Support and Resources,"The stress and anxiety of the academic workload have been affecting my mental health, and I am finding it difficult to cope.",20,0.96,1,1,M,Soudan
Health and Well-being Support,Counseling sessions are too short to provide meaningful ongoing therapeutic support.,17,2.27,2,1,F,Jordan
Student Affairs,I am currently in the registrar's office and they are refusing to let me speak to a supervisor even though the clerk has made a major error on my file. I’m not leaving until this is resolved.,17,0.58,5,1,F,India
Student Affairs,Student feedback submitted through surveys is almost never meaningfully acted upon.,18,2.21,4,1,M,Pakistan
Athletics and sports,The gym has no proper ventilation and the smell is overwhelming on busy days.,16,0.36,5,1,M,Bangladesh
Athletics and sports,"I'm disappointed with the lack of support for student athletes. It's hard to balance sports and academics, and more resources need to be provided to help athletes succeed.",17,3.36,4,1,M,Soudan
Academic Support and Resources,"Managing the academic workload and the difficulty of course material is a constant struggle. I need to improve my time management skills to balance work and academic responsibilities, but it's hard when I have time conflicts with other commitments. The lack of sleep is starting to affect my mental health, and I'm feeling stressed and anxious.",18,0.84,1,1,F,Soudan
Academic Support and Resources,The course syllabus was changed halfway through the semester without notice.,27,3.61,5,1,M,Pakistan
Academic Support and Resources,"I am struggling to find and access the course materials I need, which is negatively affecting my academic performance.",25,1.25,1,1,M,Egypt
International student experiences,I was not told my visa did not allow me to work more than 20 hours per week.,28,0.37,5,1,M,Malaysia
Internship Opportunities,Career development is not embedded into any course curricula across the university.,22,1.93,2,1,F,Malaysia
Student Activities,The student union never announces events early enough for students to plan ahead.,19,2.4,3,1,F,Bangladesh
Online learning,"On most parts of the 8th/9th floor, WiFi is missing at all.",22,2.74,4,1,M,Indonesia
Athletics and sports,The sports complex has no accessible changing facilities for disabled students.,28,2.53,5,1,F,Jordan
Online learning,There is no technical support available during online exams when problems arise.,23,2.25,1,1,M,Jordan
Financial Support,It's frustrating that there are so few scholarships available to help with the cost of tuition.,16,2.52,5,1,F,Egypt
Internship Opportunities,The limited availability of job opportunities is causing me a great deal of stress and anxiety about my future career prospects.,27,0.67,5,1,F,Egypt
Housing and Transportation,The window mesh in room 108 is torn. Mosquitoes are getting in at night even when the glass is closed because the screen is loose. I would appreciate it if maintenance could replace the mesh with a new one.,25,3.93,5,1,F,Indonesia
Health and Well-being Support,"Dealing with a chronic illness is already difficult enough, but the added stress of medical expenses is almost unbearable. I'm constantly worried about how I'm going to pay for my treatment.",25,2.41,4,1,M,France
Student Activities,Activity subsidies for low-income students are not advertised anywhere on campus.,22,2.93,2,1,F,India
Housing and Transportation,Parking layout causes difficulty exiting during rush hours.,24,3.32,4,1,M,Turkey
Health and Well-being Support,Mental health awareness events are held but no follow-up resources are provided.,27,3.65,2,1,M,Pakistan
Housing and Transportation,"4. ""I've had to switch apartments multiple times because my landlord kept increasing the rent without warning. It's not fair for students who are already struggling to make ends meet.""",21,3.06,2,1,M,South Africa
Athletics and sports,University team selections are perceived as biased with no transparent process.,25,2.81,4,1,M,Egypt
Student Activities,"5. ""I'm interested in studying abroad, but I'm not sure where to start. It would be great if the university had more resources and support for students who are considering international programs or trips.""",23,3.4,1,1,M,Yemen
Online learning,Persistent coil whine on assigned laptop. There’s a high-pitched tone under light load. Not critical but distracting in quiet study rooms. Temperatures and performance are normal. Is a replacement warranted? BIOS and firmware updated already. Open to testing another power adapter. Thanks for reviewing.,19,0.72,3,1,M,Indonesia
Housing and Transportation,"27. ""The university should provide more affordable on-campus housing options for students who can't afford to live off-campus.""",16,0.87,1,1,M,Yemen
International student experiences,I was not told my visa did not allow me to work more than 20 hours per week.,17,3.86,3,1,M,Pakistan
Student Activities,Cultural clubs receive far less funding than sports clubs without any justification.,21,1.94,2,1,M,Egypt
International student experiences,I received my student ID three weeks after arrival blocking access to all services.,22,3.02,1,1,M,India
Food and Cantines,There is only one water dispenser in the entire cafeteria and it is always broken.,27,2.6,2,1,F,Malaysia
Student Activities,There are no creative arts performance spaces available for student club events.,27,2.41,4,1,F,Nigeria
Housing and Transportation,Unstable scaffolding left by the painting crew. The metal structure near the entrance is swaying in the wind and looks like it might tip over onto the student walkway. It needs to be secured or dismantled immediately before it causes an accident.,25,3.26,3,1,F,Bangladesh
Student Activities,Many clubs are completely inactive and never deliver on their promised activities.,28,2.07,3,1,F,Saudi Arabia
Athletics and sports,There are no stretching or warm-up areas near the main sports field.,24,3.39,2,1,M,Malaysia
Health and Well-being Support,There is no crisis intervention team available on campus for mental health emergencies.,24,0.34,5,1,F,Bangladesh
Health and Well-being Support,The university does not partner with community health services to expand access.,21,1.05,5,1,F,Egypt
Internship Opportunities,There are no resources for students wanting to work in careers outside the country.,16,2.67,3,1,M,India
Academic Support and Resources,Half the computers in the library are broken and have been for months.,17,1.2,3,1,M,Indonesia
Health and Well-being Support,The health clinic is so far from the main campus that students avoid going.,21,0.91,4,1,F,Saudi Arabia
Student Activities,Students are not consulted before major changes to the activities program are made.,24,0.94,1,1,M,Malaysia
Internship Opportunities,The university needs to offer more workshops and training programs to help students develop the necessary skills for the job market.,26,1.6,5,1,M,Egypt
Student Activities,There are no creative arts performance spaces available for student club events.,21,2.3,3,1,M,Bangladesh
Food and Cantines,"7. ""The campus coffee shop is always crowded, and it takes forever to get my order. I wish there were more employees working during peak hours.""",20,3.88,2,1,M,Indonesia
Athletics and sports," The athletic department should prioritize the safety and well-being of all athletes, rather than just focusing on winning.",25,0.47,2,1,F,Soudan
Academic Support and Resources,It's frustrating when you can't access research databases and materials you need for your assignments because they're only available in the library and you can't visit it.,16,3.8,1,1,F,Egypt
Online learning,The 7th floor (6 of lift) does not have Wi-Fi routers. Thus the Wi-Fi connection disappears when a student enters a classroom at the 7th floor. This is extremely inconvenient as it can cause a student to miss their attendance in their class for the lack of internet connectivity despite being present at the class. Kindly verify and take action.,23,3.11,4,1,M,Pakistan
Internship Opportunities,The university does not host career panels with professionals from diverse fields.,21,1.83,2,1,F,Nigeria
Academic Support and Resources,Silent zones in the library are not enforced and it is always noisy.,21,0.92,4,1,F,Saudi Arabia
Athletics and sports,Student athletes returning from injury have no rehabilitation support on campus.,25,0.78,3,1,M,Egypt
Health and Well-being Support,There is no quiet zone for students who experience sensory overload on campus.,23,1.05,2,1,M,India
Online learning,The online grading system only shows a final score with no breakdown of marks.,22,0.93,4,1,F,Saudi Arabia
Online learning,TA access denied to grading dashboard. I’m assigned as TA but can’t access grading. Students await feedback today. Please add correct role or elevate access. Time-sensitive.,21,2.17,5,1,F,Nigeria
Athletics and sports,Female students do not have equal access to the same quality sports facilities.,16,2.81,3,1,M,Turkey
Internship Opportunities,Career development is not embedded into any course curricula across the university.,23,1.24,4,1,F,Nigeria
Student Activities,The university does not celebrate any international awareness days on campus.,25,2.84,4,1,M,India
Housing and Transportation,"Hostel gate closed early preventing entry for lab students. A group of us were working on a project in the CSE lab and arrived 5 mins before curfew, but the guard has locked the gates and is refusing entry. It is raining and we are stuck outside. Please instruct him to let us in.",21,2.45,2,1,F,Nigeria
Athletics and sports,There is no mental health support specifically available for student athletes.,18,2.29,4,1,F,Egypt
Food and Cantines,The size for the teacup in the cafeteria should be larger.,16,3.02,4,1,M,Turkey
Housing and Transportation,"The clock in the cafeteria is five minutes slow. It’s not a big deal, but it does cause some confusion for students trying to get to their 1 PM lectures on time. It just needs to be synced with the digital campus clock.",24,2.79,3,1,F,Turkey
Internship Opportunities,The university's career services department does not provide enough resources or support for students seeking internships or jobs.,20,3.33,5,1,M,Egypt
Financial Support,Students supporting dependents while studying get no additional financial help.,23,0.76,1,1,M,Bangladesh
Housing and Transportation,There is no secure bicycle storage available near any academic buildings.,26,1.7,3,1,F,Egypt
International student experiences,There is no welcome desk to help direct new international students on arrival.,26,3.4,5,1,F,Saudi Arabia
Student Activities,Cultural clubs receive far less funding than sports clubs without any justification.,23,2.84,4,1,M,India
Student Activities,There are no creative arts performance spaces available for student club events.,24,1.89,3,1,M,Bangladesh
Student Activities,"10. ""I love going to sporting events and cheering on our school's teams. It's a great way to feel connected to the university and get involved in the campus community.""",22,1.05,5,1,F,Indonesia
Academic Support and Resources,The water fountain in the sports wing of the academic block has a very low arc. It’s hard to drink from it directly without touching the metal. Adjusting the water pressure slightly would be more hygienic.,28,2.14,4,1,M,Pakistan
Athletics and sports,The sports complex closes too early for students with late afternoon classes.,22,3.9,1,1,M,Saudi Arabia
Athletics and sports,The university needs to do more to ensure Title IX compliance in all aspects of the athletics programs. It's unacceptable for any student to feel discriminated against or unsafe.,19,1.21,5,1,M,Soudan
Academic Support and Resources,The library inter-loan service takes over three weeks to deliver requested books.,20,2.92,5,1,M,Pakistan
Food and Cantines,"33. ""The food in the cafeteria is always fresh and delicious.""",21,4.12,4,1,M,Indonesia
Online learning,Online quiz timers penalize students with slower internet connections unfairly.,22,2.08,4,1,M,Jordan
Financial Support,Difficulty in generating a 'No Dues' certificate for a semester break. I am taking a medical leave and need to show I've cleared all finances. The portal says I have 'Library Dues' but the library says I'm clear. This cross-departmental sync is taking forever.,19,1.99,5,1,M,Jordan
Athletics and sports, I have concerns about the athletic department's handling of Title IX complaints and the overall culture of accountability.,26,3.3,2,1,F,Soudan
Food and Cantines,There is no nutritional information displayed for any items at the cafeteria.,26,2.99,5,1,M,Indonesia
Student Affairs,"I’m being charged for a meal plan that I specifically opted out of during registration. I have the confirmation email proving I chose the ""No Meal Plan"" option.",19,0.86,2,1,F,Pakistan
Housing and Transportation,Request for a bulletin board in Block B. We currently stick all the notices on the walls and it leaves a lot of tape marks. A proper cork board would look much cleaner and hold the posters better.,27,2.54,1,1,M,Nigeria
Housing and Transportation,Curtain rods falling off in the common room. The heavy drapes are sagging because the brackets have come loose from the wall. One side actually fell yesterday and almost hit someone. Please secure them properly.,27,1.02,5,1,M,Bangladesh
Housing and Transportation,"Classroom lights and ACs are not properly maintained; some are faulty, and there appears to be little concern regarding timely repairs.",21,0.72,1,1,M,Indonesia
Food and Cantines,The canteen does not cater for students with specific dietary requirements.,21,2.05,5,1,M,India
Athletics and sports,Sports fields are closed without advance notice to training teams.,20,3.03,4,1,M,Turkey
Online learning,The online attendance tracking system records incorrect absences for students.,22,3.68,5,1,F,Bangladesh
Internship Opportunities,There are no resources for students wanting to work in careers outside the country.,19,1.77,2,1,F,India
Academic Support and Resources,Library and study room spaces are insufficient and remain overcrowded during peak hours.,22,2.39,3,1,M,Indonesia
Athletics and sports,There is no system to report unsafe sporting conditions or equipment hazards.,19,0.7,1,1,M,Saudi Arabia
Financial Support,Tuition fee refunds take over two months to be processed and returned.,27,1.47,2,1,F,Malaysia
Student Affairs,Someone is using a fake ID to get into the campus bar. I saw them showing it to the staff and it was clearly not them. I don't want the university to get in trouble for underage drinking.,27,3.33,5,1,F,India
International student experiences,The university does not help students connect with others from their home country.,19,2.0,1,1,M,Malaysia
Student Affairs," ""I've had nothing but frustration and delays in trying to obtain my student certificates. The student affairs office needs to overhaul their processes and make it easier for students to get what they need.""",26,2.14,4,1,F,Mexico
Housing and Transportation,Electrical sparks coming from the bathroom geyser in Block B. Every time I switch on the water heater there is a loud pop and visible blue sparks. This is a massive fire risk and someone could get electrocuted. I have turned off the mains but this needs an emergency electrician right now.,19,3.56,1,1,M,Egypt
Online learning,The e-learning platform logs students out every 15 minutes during assessments.,27,3.18,5,1,F,Malaysia
Health and Well-being Support,The health clinic is so far from the main campus that students avoid going.,21,3.88,5,1,M,Indonesia
Health and Well-being Support,Students who disclose mental health challenges face delays getting any practical help.,22,2.37,3,1,F,Malaysia
Health and Well-being Support,The campus clinic only accepts walk-in patients in the morning with no afternoon slots.,25,0.95,1,1,F,Indonesia
Food and Cantines,There are no late-night food kiosks near the dormitory buildings at all.,24,3.95,1,1,M,Nigeria
Internship Opportunities,The career center website is outdated and many of the resource links are broken.,25,2.28,3,1,F,Turkey
Student Activities,The student union AGM is held without proper notification to all members.,19,1.77,3,1,F,Pakistan
Student Activities,Student exchange programs require a GPA far too high for most students.,17,2.83,5,1,M,Egypt
Internship Opportunities,The current job market is so competitive that it feels impossible to find meaningful employment opportunities.,23,1.05,5,1,F,Egypt
International student experiences,The campus does not celebrate or acknowledge the cultural diversity of its students.,26,0.31,4,1,F,Turkey
Housing and Transportation,Broken towel rack in the washroom. The metal bar has come off the wall on one side because the screws have pulled out of the drywall. I have no place to hang my clothes while showering. Can maintenance re-install it with better anchors?,28,0.79,5,1,M,Bangladesh
Student Activities,There are no virtual event options for students who cannot attend events in person.,17,3.48,1,1,F,Jordan
Health and Well-being Support,The wellness app promoted by the university requires an expensive paid subscription.,22,2.85,2,1,F,Malaysia
Financial Support,The tuition fee invoice contained errors that took weeks to be corrected.,24,0.63,3,1,M,Indonesia
Online learning,Discussion forums on the e-learning platform are never monitored by instructors.,25,1.64,2,1,M,Bangladesh
Student Affairs,The graduation fee is $150. Can someone explain why it costs so much just to get a piece of paper that we already earned?,22,0.82,1,1,F,Saudi Arabia
Academic Support and Resources,Limited access to academic advisors is making me feel like I'm on my own when it comes to making important academic decisions.,18,2.18,2,1,M,Egypt
Food and Cantines,Cafeteria staff are consistently rude and dismissive when students complain.,17,1.25,3,1,F,Saudi Arabia
Financial Support,"Excess fee payment for the lab component. I accidentally added an extra zero and paid 50,000 instead of 5,000. My parents are extremely upset as this was for our home rent. I need the 45,000 refunded to the source account within 24 hours.",23,1.98,2,1,F,Malaysia
Housing and Transportation,The water pressure in the bidet spray is way too high. It’s almost painful to use and it splashes water everywhere in the stall. Could the plumber adjust the pressure valve for the ground floor washrooms?,17,2.08,2,1,M,Malaysia
Internship Opportunities,The internship matching process is completely opaque with no clear selection criteria.,25,2.35,2,1,M,Jordan
International student experiences,Cultural stereotyping by some faculty makes international students feel unwelcome.,22,0.64,3,1,F,Malaysia
Student Activities,"7. ""I love exploring new places and trying new things, but it's hard to find the time and money to do so while I'm in school. It would be great if there were more affordable and accessible travel options for students, like student discounts on airfare or organized weekend trips.""",17,2.31,1,1,M,Yemen
International student experiences,"26. ""Sometimes, I feel like I'm not able to fully express myself or my opinions in discussions because of language barriers.""",25,2.92,5,1,M,Mexico
Athletics and sports,Sports injuries during university activities are not covered by student insurance.,27,1.38,2,1,M,Turkey
Academic Support and Resources,I cannot renew my library books online because the system is always down.,16,0.51,1,1,F,Indonesia
Online learning,"New RA onboarding: bundle of standard academic tools. Research assistant starts Monday. Please provision accounts, licenses, and MFA. SharePoint and Git access aligned with project. Asset tag to follow.",19,3.08,4,1,F,Egypt
Student Activities,The university does not allow clubs to seek external sponsorship independently.,20,3.43,5,1,F,Turkey
Student Affairs,"I’m trying to change my major from Biology to Chemistry, but the advisor says the ""Admin Department"" hasn't processed the paperwork I signed two months ago. Now the Chemistry classes are all full.",27,3.32,3,1,F,Jordan
Academic Support and Resources,Waitlist for the 'Machine Learning' elective hasn't moved in two weeks. I am at position #2 and there are several students who have dropped the course. The system isn't automatically pulling people from the waitlist into the enrolled list. Please manually update the roster.,24,2.79,1,1,M,Egypt
Food and Cantines,"6. ""I love the variety of snacks available at the campus convenience store, but the prices are too high. It would be great if the university could offer more affordable options.""",19,0.15,1,1,M,Indonesia
Health and Well-being Support,Mental health awareness events are held but no follow-up resources are provided.,25,1.05,1,1,M,Pakistan
Food and Cantines,The canteen queue during lunch can take over 40 minutes on a busy day.,27,2.01,1,1,F,Pakistan
Financial Support,There is no emergency financial assistance available for students in sudden crisis.,18,3.15,1,1,F,Saudi Arabia
Student Affairs,University sexual harassment policies are not clearly communicated to all students.,23,2.16,3,1,F,Saudi Arabia
Housing and Transportation,There are no bicycle lanes on campus making cycling to class dangerous.,16,1.21,2,1,M,Malaysia
Academic Support and Resources,The library does not have enough power outlets for students to charge their devices.,26,2.59,2,1,F,Malaysia
Health and Well-being Support,Students with anxiety receive no special accommodation during oral presentations.,23,3.73,4,1,F,Bangladesh
Online learning,The 7th floor (6 of lift) does not have Wi-Fi routers. Thus the Wi-Fi connection disappears when a student enters a classroom in the 7th floor. This is extremely inconvenient as it can cause a student to miss their attendance in their class for the lack of internet connectivity despite being present in the class. Please look into it.,23,1.22,4,1,F,Indonesia
Academic Support and Resources,Limited course availability is impacting our ability to graduate on time and meet our academic goals. We need more options.,16,1.19,1,1,M,Egypt
Health and Well-being Support,There is no dedicated grief or bereavement support available anywhere on campus.,18,3.09,4,1,F,Malaysia
Online learning, The limited availability of online courses and programs can make it difficult for students to meet graduation requirements or pursue specific fields of study.,20,1.35,2,1,F,Mexico
Academic Support and Resources,Forming groups ourselves often leads to conflicts. It would be better if the teacher assigned the groups first to avoid any problems.,19,0.48,3,1,F,Malaysia
Food and Cantines,Cafeteria staff are consistently rude and dismissive when students complain.,18,1.56,1,1,F,Saudi Arabia
Athletics and sports, Athletic facilities are often overcrowded and difficult to access. This makes it hard to stay motivated to exercise and stay active.,18,1.16,3,1,M,Soudan
Student Affairs,I faced discrimination on campus and the university took no meaningful action.,19,3.18,4,1,M,Malaysia
Housing and Transportation,"5. ""I have to take two buses and a train just to get to campus, and the trip takes over an hour each way. It's exhausting and it takes away from my study time.""",27,1.94,2,1,M,South Africa
Housing and Transportation,The university parking is completely full by 8am leaving no space for students.,18,0.88,5,1,M,Saudi Arabia
Academic Support and Resources,Library staff are unhelpful when students ask for research assistance.,20,2.58,5,1,M,India
Student Activities,Social events on campus never cater to students from minority backgrounds.,18,2.07,1,1,F,India
Athletics and sports,Sports fields are regularly closed without any advance notice to students.,19,1.35,1,1,M,Jordan
Online learning,Some projectors are not clear. This is affecting regular activities.,16,0.45,2,1,F,Jordan
Food and Cantines,24. I have been harassed or assaulted in the dining hall.,18,2.06,1,1,M,Indonesia
Athletics and sports,The gym induction is only offered once per semester making access hard for new students.,24,2.06,3,1,F,Jordan
Student Activities,Students are not consulted before major changes to the activities program.,26,2.79,4,1,F,Bangladesh
Student Activities,The student activities fair was so poorly organized that I couldn't find any clubs.,18,3.12,3,1,F,Indonesia
Online learning," I had difficulty adjusting to the online learning environment, and I feel like I'm not getting the same quality education as in-person students.",27,0.27,1,1,M,Mexico
Internship Opportunities,The university does not organize any company site visits for students to explore.,19,1.04,5,1,M,Jordan
Student Affairs,The student council does not represent the interests of minority student groups.,24,0.9,3,1,F,Saudi Arabia
International student experiences,International students pay higher fees but receive noticeably fewer support services.,20,3.9,5,1,F,Pakistan
Athletics and sports,There are no beginner-level programs for students who are new to physical activity.,23,2.7,5,1,F,Indonesia
Online learning,Assignment submission on the portal frequently fails and loses uploaded files.,23,1.41,4,1,F,Nigeria
Athletics and sports,The gym induction is only offered once per semester making access hard for new students.,25,0.79,3,1,M,Jordan
Health and Well-being Support,There is no crisis intervention team available on campus for mental health emergencies.,24,2.26,5,1,M,Pakistan
Academic Support and Resources,New books requested by students are never added to the library collection.,21,0.58,2,1,M,Saudi Arabia
International student experiences,"2. ""I feel like there is a cultural gap between me and my classmates. Sometimes I don't understand the references they make or the way they approach certain topics. It makes it hard to feel like I'm truly part of the community.""",21,1.38,2,1,M,France
International student experiences,The university emergency contact form does not support international phone formats.,22,2.1,4,1,M,Malaysia
Food and Cantines,"23. ""The campus should provide more options for students who need to grab a quick bite between classes.""",21,1.35,2,1,F,Indonesia
Student Affairs,"Is there a way to update my emergency contact information online? Currently, the portal says I have to come to the office in person, which seems a bit outdated for 2026.",28,1.59,4,1,M,Indonesia
Housing and Transportation,There is no secure bicycle storage available near any academic buildings.,23,0.7,2,1,M,Nigeria
Athletics and sports,Sports fields are closed without advance notice to training teams.,23,3.73,3,1,M,Saudi Arabia
Health and Well-being Support,The health clinic is so far from the main campus that students avoid going.,21,2.29,5,1,M,Egypt
Academic Support and Resources,The course syllabus was changed halfway through the semester without notice.,21,3.77,4,1,F,Pakistan
Internship Opportunities,Career office staff turnover is so high students constantly lose their contact person.,23,1.98,1,1,F,Saudi Arabia
Food and Cantines,Meal plan options are too expensive and offer very poor value for students.,20,3.28,3,1,M,Bangladesh
Food and Cantines,26. I have been unable to find food that meets my dietary needs.,18,1.16,4,1,M,Indonesia
Financial Support,Tuition fee refunds take over two months to be processed and returned.,19,2.78,1,1,M,Turkey
Student Activities,The student union AGM is held without proper notification to all members.,28,3.53,1,1,M,Turkey
Food and Cantines,"32. ""The cantine should offer more options for people who are gluten intolerant.""",19,1.14,3,1,F,Indonesia
Student Affairs," ""The student affairs office seems to prioritize administrative tasks over student needs. It's time for them to focus on improving their services for students.""",21,0.67,1,1,M,Mexico
Financial Support,Online fee payment portal often fails during transactions.,17,0.87,1,1,M,Nigeria
Academic Support and Resources,"It is difficult to evaluate students fairly when quizzes have uneven difficulty levels, with some sets being hard and others easy. Would appreciate a resolution soon.",21,3.59,3,1,F,Saudi Arabia
Student Activities,Students are not consulted before major changes to the activities program.,27,1.36,5,1,M,Indonesia
Academic Support and Resources,Request to extend the library hours during the week before the mid-semester exams. Closing at 8 PM is a bit early when we have back-to-back tests. Staying open until 10 PM for just that one week would be a huge help.,16,0.99,4,1,M,Malaysia
Health and Well-being Support,The wellness app promoted by the university requires an expensive paid subscription.,28,3.6,4,1,M,India
Health and Well-being Support,There is no peer counseling program run by trained student volunteers.,17,0.91,2,1,M,Malaysia
Financial Support,Request for a few more pens to be kept at the challan counter. Often there are none available and we have to keep asking other students. It’s a small thing but it would make the experience smoother for everyone.,24,0.84,5,1,M,Pakistan
Food and Cantines,"9. ""The campus food options are not very diverse, and I often end up eating the same things over and over again.""",21,3.0,1,1,F,Indonesia
Health and Well-being Support,It's frustrating that mental health care isn't covered under my insurance plan.,27,3.45,3,1,M,France
Internship Opportunities,There are no resources for students applying to government or public service careers.,20,1.67,4,1,M,Nigeria
Internship Opportunities,The university does not facilitate connections with startups or smaller businesses.,16,3.4,3,1,F,Bangladesh
Health and Well-being Support,The health clinic appointment booking system is confusing and hard to navigate.,24,2.23,1,1,F,Saudi Arabia
Internship Opportunities,The career center canceled a scheduled employer visit without informing students.,16,0.9,3,1,M,Nigeria
International student experiences,"5. ""The language barrier can make it hard to participate in class discussions, which can be isolating.""",21,2.28,4,1,F,France
Online learning,Students cannot access their course materials after the semester ends for revision.,24,2.38,3,1,F,Jordan
Athletics and sports,There are no stretching or warm-up areas near the main sports field.,23,3.76,4,1,M,Nigeria
Student Activities,There is no mentoring structure for new club leaders taking over from outgoing ones.,22,2.04,1,1,F,Egypt
Health and Well-being Support,The health clinic appointment booking system is confusing and hard to navigate.,16,0.96,2,1,F,Turkey
Health and Well-being Support,Students are not screened for mental health issues when they first enroll.,17,1.09,3,1,M,Bangladesh
Housing and Transportation,Dormitory laundry machines are broken down or fully occupied most of the time.,18,3.83,5,1,F,Indonesia
Student Activities,"9. ""I went on a trip with a student organization, but the leaders didn't seem very organized. We were always running late or missing important details, and it made the trip more stressful than it needed to be.""",19,1.98,1,1,M,Indonesia
Internship Opportunities,The career center website is outdated and many of the resource links are broken.,20,0.49,4,1,M,Saudi Arabia
International student experiences,I was excluded from a study group because of my accent and no action was taken.,20,3.01,4,1,M,India
Academic Support and Resources,Silent zones in the library are not enforced and it is always noisy.,19,3.04,4,1,F,Indonesia
Financial Support,"The water cooler near the finance office is often out of paper cups in the afternoon. Since students spend a lot of time waiting in line there, it would be nice if the supplies were restocked more frequently.",16,3.25,3,1,M,Saudi Arabia
Athletics and sports,The gym equipment is broken and has not been repaired for over two months.,20,3.91,1,1,M,Bangladesh
Financial Support,"The ink on the printed fee receipts is very faint. By the time the semester ends, the text is almost invisible. It would be better if the finance office used higher-quality printers or gave us a digital copy alongside the physical one.",19,3.71,2,1,F,Turkey
Housing and Transportation,"The transparent glass of washroom windows should be replaced with non-transparent glass, especially in lower floors, as it is a matter of privacy.",19,1.55,1,1,M,Pakistan
Housing and Transportation,Can we get a few more indoor plants for the lobby? It would make the entrance look more welcoming and improve the atmosphere of the hostel. A few low-maintenance palms would be great.,26,1.14,2,1,M,Nigeria
Internship Opportunities,The university does not offer any CV review support to students before graduation.,20,0.44,3,1,F,India
Housing and Transportation,"Basement flooding near the electrical panel. Heavy rain has caused water to pool around the main circuit breakers for the hostel. If the water level rises another inch, the whole building will short circuit. Need a pump here now.",27,2.9,1,1,F,Bangladesh
Internship Opportunities,Career mentoring is only available during office hours when students are in class.,22,3.82,3,1,F,Turkey
Food and Cantines,"50. ""The cantine should offer more breakfast options.""",19,3.11,1,1,M,Indonesia
Financial Support,The cost of required course materials is not covered by the student bursary at all.,27,0.85,1,1,F,Indonesia
Housing and Transportation,The exhaust fans in the washrooms and other areas should be repaired or replaced with new ones. This is affecting regular activities.,18,3.61,3,1,F,Jordan
Athletics and sports,I've noticed that the sports team culture on campus can be exclusive and elitist. It makes it hard for newcomers to feel welcome.,18,1.16,2,1,F,Soudan
Internship Opportunities,Graduate school application support is not offered despite many students needing it.,20,0.7,4,1,M,Malaysia
International student experiences,The university does not offer free local language lessons for non-native speakers.,17,3.59,4,1,M,Pakistan
Academic Support and Resources, I am concerned about the lack of academic rigor in this course. We,16,1.68,2,1,F,Egypt
Academic Support and Resources,"In the CSE 1206 course, classes are frequently ended significantly earlier than the allocated time. Please look into it.",23,2.61,5,1,F,Indonesia
Health and Well-being Support, I'm struggling to find a medication that works for me and doesn't break the bank.,27,3.37,1,1,M,France
Student Activities,Activity subsidies for low-income students are not advertised at all.,20,0.65,4,1,M,Jordan
Financial Support,Students are never told about external scholarships the university knows about.,25,1.32,5,1,F,Nigeria
International student experiences,International students are rarely represented in any official university communications.,16,3.55,3,1,F,Indonesia
Internship Opportunities,The career center canceled a scheduled employer visit without informing students.,23,1.22,1,1,M,Nigeria
